quote,author,theme/tag,source,position,region,decade,gender
"A man can only lead when others accept him as their leader, and he has only as much authority as his subjects give to him. All of the brilliant ideas in the world cannot save your kingdom if no one will listen to them.",Brandon Sanderson,leadership,Goodreads – leadership,Author,North America,2020s,male
"A leader. . .is like a shepherd. He stays behind the flock, letting the most nimble go out ahead, whereupon the others follow, not realizing that all along they are being directed from behind.",Nelson Mandela,leadership,Goodreads – leadership,President,Africa,1990s,male
Consistency is the true foundation of trust. Either keep your promises or do not make them.,Roy T. Bennett,leadership,Goodreads – leadership,Author,Unknown,2010s,male
Don't blow off another's candle for it won't make yours shine brighter.,Jaachynma N.E. Agu,leadership,Goodreads – leadership,Author,Africa,2010s,female
Shine your light and make a positive impact on the world; there is nothing so honorable as helping improve the lives of others.,Roy T. Bennett,leadership,Goodreads – leadership,Author,Unknown,2010s,male
The mark of a great man is one who knows when to set aside the important things in order to accomplish the vital ones.,Brandon Sanderson,leadership,Goodreads – leadership,Author,North America,2020s,male
He who cannot be a good follower cannot be a good leader.,Aristotle,leadership,Goodreads – leadership,Philosopher,Europe,-300s,male
Great Leaders Create More Leaders,Roy T. Bennett,leadership,Goodreads – leadership,Author,Unknown,2010s,male
Victory has a hundred fathers and defeat is an orphan.,John F. Kennedy,leadership,Goodreads – leadership,President,North America,1960s,male
You are good. But it is not enough just to be good. You must be good for something. You must contribute good to the world. The world must be a better place for your presence. And the good that is in you must be spread to others....,Gordon B. Hinckley,leadership,Goodreads – leadership,Unknown,Unknown,Unknown,Unknown
A leader is a dealer in hope.,Napoleon Bonaparte,leadership,Goodreads – leadership,Unknown,Unknown,Unknown,Unknown
"Lead me, follow me, or get the hell out of my way.",George S. Patton Jr.,leadership,Goodreads – leadership,General,North America,1940s,male
The adventure of life is to learn.,William Arthur Ward,leadership,Goodreads – leadership,Author,North America,1950s,male
"Change course, but don’t give up.",Roy T. Bennett,leadership,Goodreads – leadership,Author,Unknown,2010s,male
"Leaders are not, as we are often led to think, people who go along with huge crowds following them. Leaders are people who go their own way without caring, or even looking to see, whether anyone is following them. ""Leadership qualities"" are not the qualities that enable people to attract followers, but those that enable them to do without them. They include, at the very least, courage, endurance, patience, humor, flexibility, resourcefulness, stubbornness, a keen sense of reality, and the ability to keep a cool and clear head, even when things are going badly. True leaders, in short, do not make people into followers, but into other leaders.",John Holt ,leadership,Goodreads – leadership,Unknown,Unknown,Unknown,Unknown
Leadership and learning are indispensable to each other.,John F. Kennedy,leadership,Goodreads – leadership,President,North America,1960s,male
A bit of advice,Joseph Campbell,leadership,Goodreads – leadership,Mythologist,North America,1940s,male
"In the future, there will be no female leaders. There will just be leaders.",Sheryl Sandberg,leadership,Goodreads – leadership,Executive,North America,2010s,female
Example is not the main thing in influencing others. It is the only thing.,Albert Schweitzer,leadership,Goodreads – leadership,Unknown,Unknown,Unknown,Unknown
"If you would convince a man that he does wrong, do right. But do not care to convince him. Men will believe what they see. Let them see.",Henry David Thoreau,leadership,Goodreads – leadership,Philosopher,North America,1850s,male
"If you're not confused, you're not paying attention.",Tom Peters,leadership,Goodreads – leadership,Unknown,Unknown,Unknown,Unknown
He who wishes to be obeyed must know how to command,Niccolò Machiavelli,leadership,Goodreads – leadership,Unknown,Unknown,Unknown,Unknown
Leadership is the art of getting someone else to do something you want done because he wants to do it.,Dwight D. Eisenhower,leadership,Goodreads – leadership,President,North America,1950s,male
"Leaders must be close enough to relate to others, but far enough ahead to motivate them.",John C. Maxwell,leadership,Goodreads – leadership,Leadership Coach,North America,2000s,male
"That was when it was all made painfully clear to me. When you are a child, there is joy. There is laughter. And most of all, there is trust. Trust in your fellows. When you are an adult...then comes suspicion, hatred, and fear. If children ran the world, it would be a place of eternal bliss and cheer. Adults run the world; and there is war, and enmity, and destruction unending. Adults who take charge of things muck them up, and then produce a new generation of children and say, ""The children are the hope of the future."" And they are right. Children are the hope of the future. But adults are the damnation of the present, and children become adults as surely as adults become worm food.",Peter David,leadership,Goodreads – leadership,Unknown,Unknown,Unknown,Unknown
"Be with a leader when he is right, stay with him when he is still right, but, leave him when he is wrong.",Abraham Lincoln,leadership,Goodreads – leadership,President,North America,1860s,male
I cannot trust a man to control others who cannot control himself.,Robert E. Lee,leadership,Goodreads – leadership,Unknown,Unknown,Unknown,Unknown
"If there is one trait that your brand must speak of, it is trust.",idowu koyenikan,leadership,Goodreads – leadership,Author,Africa,2010s,male
One of the best ways to influence people is to make them feel important. Most people enjoy those rare moments when others make them feel important. It is one of the deepest human desires.,Roy T. Bennett,leadership,Goodreads – leadership,Author,Unknown,2010s,male
"Whenever you see a successful business, someone once made a courageous decision.",Peter F. Drucker,leadership,Goodreads – leadership,Management Theorist,Europe,1960s,male
"Truly powerful people have great humility. They do not try to impress, they do not try to be influential. They simply are. People are magnetically drawn to them. They are most often very silent and focused, aware of their core selves. ... They never persuade, nor do they use manipulation or aggressiveness to get their way. They listen. If there is anything they can offer to assist you, they offer it; if not, they are silent.",Sanaya Roman,leadership,Goodreads – leadership,Unknown,Unknown,Unknown,Unknown
Efficiency is doing the thing right. Effectiveness is doing the right thing.,Peter F. Drucker,leadership,Goodreads – leadership,Management Theorist,Europe,1960s,male
"Integrity is doing what is right and truthful, and doing as you say you would do.",Roy T. Bennett,leadership,Goodreads – leadership,Author,Unknown,2010s,male
The day the soldiers stop bringing you their problems is the day you stopped leading them. They have either lost confidence that you can help them or concluded that you do not care. Either case is a failure of leadership.,Colin Powell,leadership,Goodreads – leadership,General,North America,2000s,male
Keep your promises and be consistent. Be the kind of person others can trust.,Roy T. Bennett,leadership,Goodreads – leadership,Author,Unknown,2010s,male
Being a leader is making the people you love hate you a little more each day.,Patrick Ness,leadership,Goodreads – leadership,Author,Europe,2010s,male
"Faith moves mountains, love transforms hearts.",John Paul Warren,leadership,Goodreads – leadership,Pastor,North America,2010s,male
The Anatomy of Conflict:,Shannon L. Alder,leadership,Goodreads – leadership,Author,North America,2010s,female
"You do not lead by hitting people over the head -- that's assault, not leadership.",Dwight D. Eisenhower,leadership,Goodreads – leadership,President,North America,1950s,male
"The leaders who work most effectively, it seems to me, never say ""I."" And that's not because they have trained themselves not to say ""I."" They don't think ""I."" They think ""we""; they think ""team."" They understand their job to be to make the team function. They accept responsibility and don't sidestep it, but ""we"" gets the credit. This is what creates trust, what enables you to get the task done.",Peter Drucker,leadership,Goodreads – leadership,Management Theorist,Europe,1960s,male
"Consensus: “The process of abandoning all beliefs, principles, values, and policies in search of something in which no one believes, but to which no one objects; the process of avoiding the very issues that have to be solved, merely because you cannot get agreement on the way ahead. What great cause would have been fought and won under the banner: ‘I stand for consensus?",Margaret Thatcher,leadership,Goodreads – leadership,Prime Minister,Europe,1980s,female
"If you're offered a seat on a rocket ship, don't ask what seat! Just get on.",Sheryl Sandberg,leadership,Goodreads – leadership,Executive,North America,2010s,female
"The key to successful leadership is influence, not authority.",Ken Blanchard,leadership,Goodreads – leadership,Unknown,Unknown,Unknown,Unknown
There are many goals but one path - the path of compassion.,Amit Ray,leadership,Goodreads – leadership,Spiritual Teacher,Asia,2010s,male
Life's short. Live passionately.,Marc A. Pitman,leadership,Goodreads – leadership,Unknown,Unknown,Unknown,Unknown
"If soldiers are punished before they have grown attached to you, they will not prove submissive;",Sun Tzu,leadership,Goodreads – leadership,General,Asia,-500s,male
"It’s exceedingly difficult for employees to have the company’s back when they can’t trust the company to have theirs. Actually, it’s impossible.",Hanna Hasl-Kelchner,leadership,Goodreads – leadership,Lawyer,North America,2010s,female
Leaders are limited by their vision rather than by their abilities.,Roy T. Bennett,leadership,Goodreads – leadership,Author,Unknown,2010s,male
Rank does not confer privilege or give power. It imposes responsibility.,Peter Drucker,leadership,Goodreads – leadership,Management Theorist,Europe,1960s,male
"In the end, it is important to remember that we cannot become what we need to be, by remaining what we are.",Max Depree,leadership,Goodreads – leadership,Unknown,Unknown,Unknown,Unknown
Low employee engagement is a symptom of a suboptimal workplace culture,Hanna Hasl-Kelchner,leadership,Goodreads – leadership,Lawyer,North America,2010s,female
Being responsible sometimes means pissing people off.,Colin Powell,leadership,Goodreads – leadership,General,North America,2000s,male
"You are not here merely to make a living. You are here in order to enable the world to live more amply, with greater vision, with a finer spirit of hope and achievement. You are here to enrich the world, and you impoverish yourself if you forget the errand.",Woodrow Wilson,leadership,Goodreads – leadership,Unknown,Unknown,Unknown,Unknown
Don't set your goals by what other people deem important.,Jaachynma N.E. Agu,leadership,Goodreads – leadership,Author,Africa,2010s,female
"Jesus said several times, “Come, follow me.” His was a program of “do what I do,” rather than “do what I say.” His innate brilliance would have permitted him to put on a dazzling display, but that would have left his followers far behind. He walked and worked with those he was to serve. His was not a long-distance leadership. He was not afraid of close friendships; he was not afraid that proximity to him would disappoint his followers. The leaven of true leadership cannot lift others unless we are with and serve those to be led.",Spencer W. Kimball,leadership,Goodreads – leadership,Unknown,Unknown,Unknown,Unknown
"Personally, I like it much better when someone else does the decision making. That way you have legitimate grounds to whine and complain. I tend to find both whining and complaining quite interesting and amusing, though sometimes--unfortunately--it's hard to choose which one of the two I want to do.",Brandon Sanderson,leadership,Goodreads – leadership,Author,North America,2020s,male
"If your actions inspire others to dream more, learn more, do more and become more, you are a leader.",John Quincy Adams,leadership,Goodreads – leadership,Unknown,Unknown,Unknown,Unknown
Your beliefs affect your choices. Your choices shape your actions. Your actions determine your results. The future you create depends upon the choices you make and the actions you take today.,Roy T. Bennett,leadership,Goodreads – leadership,Author,Unknown,2010s,male
"I don’t see myself being special; I just see myself having more responsibilities than the next man. People look to me to do things for them, to have answers.",Tupac Shakur,leadership,Goodreads – leadership,Unknown,Unknown,Unknown,Unknown
The secret of leadership is simple: Do what you believe in. Paint a picture of the future. Go there.,Seth Godin,leadership,Goodreads – leadership,Author,North America,2000s,male
Remember that things are not always as they appear to be… Curiosity creates possibilities and opportunities.,Roy T. Bennett,leadership,Goodreads – leadership,Author,Unknown,2010s,male
Focus on making choices to lead your life that aligns with your core values in the most purposeful way possible.,Roy T. Bennett,leadership,Goodreads – leadership,Author,Unknown,2010s,male
"Leadership is not magnetic personality, that can just as well be a glib tongue. It is not ""making friends and influencing people"", that is flattery. Leadership is lifting a person's vision to higher sights, the raising of a person's performance to a higher standard, the building of a personality beyond its normal limitations.",Peter F. Drucker,leadership,Goodreads – leadership,Management Theorist,Europe,1960s,male
"Leaders live by choice, not by accident.",Mark Gorman,leadership,Goodreads – leadership,Coach,North America,2010s,male
Remember teamwork begins by building trust. And the only way to do that is to overcome our need for invulnerability.,Patrick Lencioni,leadership,Goodreads – leadership,Unknown,Unknown,Unknown,Unknown
"The more you talk about them, the more important they will feel. The more you listen to them, the more important you will make them feel.",Roy T. Bennett,leadership,Goodreads – leadership,Author,Unknown,2010s,male
"Real change is difficult at the beginning, but gorgeous at the end. Change begins the moment you get the courage and step outside your comfort zone; change begins at the end of your comfort zone.",Roy T. Bennett,leadership,Goodreads – leadership,Author,Unknown,2010s,male
There is a difference between being a leader and being a boss. Both are based on authority. A boss demands blind obedience; a leader earns his authority through understanding and trust.,Klaus Balkenhol,leadership,Goodreads – leadership,Unknown,Unknown,Unknown,Unknown
We're here for a reason. I believe a bit of the reason is to throw little torches out to lead people through the dark.,Whoopi Goldberg,leadership,Goodreads – leadership,Unknown,Unknown,Unknown,Unknown
The best form of saying is being,Che Guevarra,leadership,Goodreads – leadership,Unknown,Unknown,Unknown,Unknown
Go to the people. Live with them. Learn from them. Love them. Start,Lao Tzu,leadership,Goodreads – leadership,Philosopher,Asia,-500s,male
"the most improper job of any man, even saints (who at any rate were at least unwilling to take it on), is bossing other men. Not one in a million is fit for it, and least of all those who seek the opportunity.",J.R.R. Tolkien,leadership,Goodreads – leadership,Author,Europe,1950s,male
You get in life what you have the courage to ask for.,Nancy D. Solomon,leadership,Goodreads – leadership,Unknown,Unknown,Unknown,Unknown
Your first and foremost job as a leader is to take charge of your own energy and then help to orchestrate the energy of those around you.,Peter F. Drucker,leadership,Goodreads – leadership,Management Theorist,Europe,1960s,male
Future Politics,Nancy Omeara,leadership,Goodreads – leadership,Unknown,Unknown,Unknown,Unknown
"No guts, no story.",Chris Brady,leadership,Goodreads – leadership,Unknown,Unknown,Unknown,Unknown
"There comes a time in your life when you can no longer put off choosing. You have to choose one path or the other. You can live safe and be protected by people just like you, or you can stand up and be a leader for what is right. Always, remember this: People never remember the crowd; they remember the one person that had the courage to say and do what no one would do.",Shannon L. Alder,leadership,Goodreads – leadership,Author,North America,2010s,female
"People in any organization are always attached to the obsolete - the things that should have worked but did not, the things that once were productive and no longer are.",Peter Drucker,leadership,Goodreads – leadership,Management Theorist,Europe,1960s,male
You can lose your MONEY. You can lose your FRIENDS. You can lose your JOB and you can lose your MARRIAGE...and still recover...as long as there is HOPE. Never lose HOPE.,John Paul Warren,leadership,Goodreads – leadership,Pastor,North America,2010s,male
Of what a strange nature is knowledge! It clings to a mind when it has once seized on it like a lichen on a rock.,Mary Shelley,leadership,Goodreads – leadership,Author,Europe,1810s,female
"A sign of power in a man is not only when people follow what he suggests, but also when people make a conscious effort to do the exact opposite of what he suggests.",Criss Jami,leadership,Goodreads – leadership,Author,North America,2010s,male
Do you know that one of the great problems of our age is that we are governed by people who care more about feelings than they do about thoughts and ideas.,Margaret Thatcher,leadership,Goodreads – leadership,Prime Minister,Europe,1980s,female
"The best executive is the one who has sense enough to pick good men to do what he wants done, and self-restraint to keep from meddling with them while they do it.",Theodore Roosevelt,leadership,Goodreads – leadership,President,North America,1900s,male
It’s time to care; it’s time to take responsibility; it’s time to lead; it’s time for a change; it’s time to be true to our greatest self; it’s time to stop blaming others.,Steve Maraboli,leadership,Goodreads – leadership,Author,North America,2010s,male
"A leader takes people where they want to go. A great leader takes people where they don't necessarily want to go, but ought to be.",Rosalynn Carter,leadership,Goodreads – leadership,First Lady,North America,1970s,female
"Some are young people who don't know who they are, what they can be or even want to be. They are afraid, but they don't know of what. They are angry, but they don't know at whom. They are rejected and they don't know why. All they want is to be somebody.",Thomas S. Monson,leadership,Goodreads – leadership,Religious Leader,North America,2000s,male
Do more listening than talking; talk more about them than about you.,Roy T. Bennett,leadership,Goodreads – leadership,Author,Unknown,2010s,male
"Teach them the quiet verbs of kindness, to live beyond themselves. Urge them toward excellence, drive them toward gentleness, pull them deep into yourself, pull them upward toward manhood, but softly like an angel arranging clouds. Let your spirit move through them softly.",Pat Conroy,leadership,Goodreads – leadership,Unknown,Unknown,Unknown,Unknown
One word of encouragement can be enough to spark someone’s motivation to continue with a difficult challenge.,Roy T. Bennett,leadership,Goodreads – leadership,Author,Unknown,2010s,male
"Open the window of your mind. Allow the fresh air, new lights and new truths to enter.",Amit Ray,leadership,Goodreads – leadership,Spiritual Teacher,Asia,2010s,male
"And therefore I am come amongst you at this time, not as for my recreation or sport, but being resolved, in the midst and heat of the battle, to live or die amongst you all; to lay down, for my God, and for my kingdom, and for my people, my honour and my blood, even the dust. I know I have but the body of a weak and feeble woman; but I have the heart of a king, and of a king of England, too.",Queen Elizabeth I,leadership,Goodreads – leadership,Unknown,Unknown,Unknown,Unknown
It is not until you change your identity to match your life blueprint that you will understand why everything in the past never worked.,Shannon L. Alder,leadership,Goodreads – leadership,Author,North America,2010s,female
"You better understand this, Cindy,” Wanda said. “The sooner you do the better your life will be. In your eyes, no man will ever measure up to Daddy. If I picked Jesus Christ to marry, He wouldn’t measure up to Daddy.",Shafter Bailey,leadership,Goodreads – leadership,Author,North America,2020s,male
"With a hint of good judgment, to fear nothing, not failure or suffering or even death, indicates that you value life the most. You live to the extreme; you push limits; you spend your time building legacies. Those do not die.",Criss Jami,leadership,Goodreads – leadership,Author,North America,2010s,male
"The first key to leadership was self-control, particularly the mastery of pride, which was something more difficult, he explained, to subdue than a wild lion and anger, which was more difficult to defeat than the greatest wrestler. He warned them that ""if you can't swallow your pride, you can't lead.",Jack Weatherford,leadership,Goodreads – leadership,Historian,North America,1990s,male
The first key to leadership is self-control.,Jack Weatherford,leadership,Goodreads – leadership,Historian,North America,1990s,male
"So many people think that they are not gifted because they don’t have an obvious talent that people can recognize because it doesn’t fall under the creative arts category—writing, dancing, music, acting, art or singing. Sadly, they let their real talents go undeveloped, while they chase after fame. I am grateful for the people with obscure unremarked talents because they make our lives easier---inventors, organizers, planners, peacemakers, communicators, activists, scientists, and so forth. However, there is one gift that trumps all other talents—being an excellent parent. If you can successfully raise a child in this day in age to have integrity then you have left a legacy that future generations will benefit from.",Shannon L. Alder,leadership,Goodreads – leadership,Author,North America,2010s,female
"There is a darkness in you. In all of us, probably. Beasts we keep chained. Ordinary men have to keep the chains strong, for if we let the beast loose then society will turn upon us with fiery vengeance. Kings though...well, who is there to turn upon them? So the chains are made of straw. It is the curse of kings, Helikaon, that they can become monsters. And they invariably do.",David Gemmell,leadership,Goodreads – leadership,Unknown,Unknown,Unknown,Unknown
"Our power lies in our small daily choices, one after another, to create eternal ripples of a life well lived.",Mollie Marti,leadership,Goodreads – leadership,Unknown,Unknown,Unknown,Unknown
"A general never shows despair. He instills confidence in his troops. He leads them forward, even into the mouth of death.",Rick Riordan,leadership,Goodreads – leadership,Author,North America,2010s,male
I am more afraid of an army of 100 sheep led by a lion than an army of 100 lions led by a sheep,Talleyrand,leadership,Goodreads – leadership,Unknown,Unknown,Unknown,Unknown
"Come forward as servants of Islam, organize the people economically, socially, educationally and politically and I am sure that you will be a power that will be accepted by everybody.",Muhammad Ali Jinnah,leadership,Goodreads – leadership,Unknown,Unknown,Unknown,Unknown
Stories are the single most powerful weapon in a leader’s arsenal,Howard Gardner,leadership,Goodreads – leadership,Unknown,Unknown,Unknown,Unknown
"Leadership, on the other hand, is about creating change you believe in.",Seth Godin,leadership,Goodreads – leadership,Author,North America,2000s,male
"In the days when hyenas of hate suckle the babes of men, and jackals of hypocrisy pimp their mothers’ broken hearts, may children not look to demons of ignorance for hope.",Aberjhani,leadership,Goodreads – leadership,Unknown,Unknown,Unknown,Unknown
"Some people have inspired whole countries to great deeds because of the power of their vision. And so could he. Not because he dreams about marching hordes, or world domination, or an empire of a thousand years. Just because he thinks that everyone’s really decent underneath and would get along just fine if only they made the effort, and he believes that so strongly it burns like a flame which is bigger than he is. He’s got a dream and we’re all part of it, so that it shapes the world around him. And the weird thing is that no one wants to disappoint him. It’d be like kicking the biggest puppy in the universe. It’s a kind of magic.",Terry Pratchett,leadership,Goodreads – leadership,Author,Europe,1990s,male
"If you are a leader or someone who works for the interest of a community, first make sure that you understand the interest of the people who make up that community. In this way, you will have a good chance of minimizing, perhaps, avoiding the us versus them mentality.",Duop Chak Wuol,leadership,Goodreads – leadership,Unknown,Unknown,Unknown,Unknown
"Under fire, trying to get a fugitive out of Honduras: “Their pilot hopped out of the cockpit to allow them entry room. Pack sent Keto [Belgian Malinois K-9] up first. Then he dragged Triandos up. The prisoner’s head pinged off every step on the way up. His head struck the bulkhead as Pack flung his bulk into the cabin. ‘I know there’s a protocol,’ Pack thought, ‘but whoever wrote it was never in this situation.",John M. Vermillion,leadership,Goodreads – leadership,Writer,North America,2010s,male
"Sometimes abiding by the strictest rules is folly. Give me flexibility, imagination, and audacity over caution any day.",John M. Vermillion,leadership,Goodreads – leadership,Writer,North America,2010s,male
"The job facing production managers focuses on how to help their team maintain hope while also addressing the sometimes brutal or dismal facts of their situation. If the truth of their position remains unseen, they will never grow the skills necessary to resolve it.",Raymond Wheeler,leadership,Goodreads – leadership,Author,North America,2010s,male
"I focus on doing my duty within the bounds of the US Constitution and my conscience. As long as I’m doing my job, I don’t worry about much else.",John M. Vermillion,leadership,Goodreads – leadership,Writer,North America,2010s,male
"Give as few orders as possible,"" his father had told him once long ago. ""Once you've given orders on a subject, you must always give orders on that subject.",Frank Herbert,leadership,Goodreads – leadership,Author,North America,1960s,male
Any man who retreats into a cave which has only one opening deserves to die.,Frank Herbert,leadership,Goodreads – leadership,Author,North America,1960s,male
"From the African terrains, stirred of a mere whisk of dust, transcended into the midst of the Caribbean. Alighted upon a new land. Still, as a motionless night, graceful as an eagle in flight. Too unseen distance.",Sherman Kennon,leadership,Goodreads – leadership,Unknown,Unknown,Unknown,Unknown
"And if the blind lead the blind, both shall fall into the ditch.",Anonymous,leadership,Goodreads – leadership,Unknown,Unknown,Unknown,Unknown
"If you can't swallow your pride, you can't lead. Even the highest mountain had animals that step on it.",Jack Weatherford,leadership,Goodreads – leadership,Historian,North America,1990s,male
An army of sheep led by a lion is better than an army of lions led by a sheep.,Alexander the Great,leadership,Goodreads – leadership,Unknown,Unknown,Unknown,Unknown
"...There are also those who inadvertently grant power to another man's words by continuously trying to spite him. If a man gets to the point where he can simply say, 'The sky is blue,' and people indignantly rush up trying to refute him saying, 'No, the sky is light blue,' then, whether they realize it or not, he has become an authority figure even to such adversaries.",Criss Jami,leadership,Goodreads – leadership,Author,North America,2010s,male
"Pick a leader who will keep jobs in your country by offering companies incentives to hire only within their borders, not one who allows corporations to outsource jobs for cheaper labor when there is a national employment crisis. Choose a leader who will invest in building bridges, not walls. Books, not weapons. Morality, not corruption. Intellectualism and wisdom, not ignorance. Stability, not fear and terror. Peace, not chaos. Love, not hate. Convergence, not segregation. Tolerance, not discrimination. Fairness, not hypocrisy. Substance, not superficiality. Character, not immaturity. Transparency, not secrecy. Justice, not lawlessness. Environmental improvement and preservation, not destruction. Truth, not lies.",Suzy Kassem,leadership,Goodreads – leadership,Author,North America,2010s,female
You don't know what you can get away with until you try.,Colin Powell,leadership,Goodreads – leadership,General,North America,2000s,male
